1,8573,"A.N.A. Compañía de Seguros, S.A. de C.V.",smees@thetimes.co.uk,4349445842
2,3639,"State Farm Insurance, S.A. de C.V.",mnassey1@com.com,2692791565
3,7695,"AIG Seguros México, S.A. de C.V.",tstruthers2@bing.com,9125300206
4,2355,"Allianz México, S.A., Compañía de Seguros",cculbard3@miitbeian.gov.cn,7434615898
6,8019,"Aseguradora Interacciones, S.A. de C.V., Grupo Financiero Interacciones",imaudsley5@google.es,6722545499
7,3855,"Aseguradora Allstate, S.A.",rghelardi6@loc.gov,2617640881
8,3604,"Aseguradora Patrimonial, S.A.",zseniour7@sourceforge.net,8184054054
9,533,"Aserta Seguros, S.A. de C.V., Grupo Financiero Aserta",escopham8@freewebs.com,4367585400
10,8407,"Assurant  México, S.A.",gphin9@usatoday.com,9152712744
11,8088,"Nationwide México, S.A.",lpenielloa@clickbank.net,6419781879
12,2498,"Atradius Seguros de Crédito, S.A.",ajurickb@naver.com,4693042703
13,3940,"AXA Seguros, S.A. de C.V.",cminersc@unc.edu,1066487632
14,6561,"Berkley International Seguros México, S.A. de C.V.",hscardd@chicagotribune.com,8436826923
15,7211,"BUPA México, Compañía de Seguros, S.A. de C.V.",gnornablee@cyberchimps.com,9878838186
16,2373,"Arbella Insurance, S.A. de C.V.",kmeasorf@ucoz.com,6445544874
17,7990,"Cardif México Seguros, S.A. de C.V.",evalerog@cam.ac.uk,6189463052
18,2738,"CESCE México, S.A. de C.V.",mmapotherh@answers.com,2452124635
19,9890,"Chubb Seguros México, S.A.",zhambrooki@live.com,2762834868
20,5585,"COFACE Seguros México, S.A. de C.V.",kyerrallj@blog.com,7947702169
21,4244,"Deco Seguros, S.A. de C.V.",mgerkensk@xing.com,7428747446
22,3676,"Der Neue Horizont Insurance, S.A.",jbatchelorl@dailymotion.com,3536629083
23,9657,"El Águila, Compañía de Seguros, S.A. de C.V.",cbuttlem@furl.net,1176322707
24,10065,"FM Global de México, S.A. de C.V.",plowlen@businessweek.com,8066475022
25,5029,"General de Seguros, S.A.B.",fwartnabyo@xinhuanet.com,8396621828
26,7331,"Grupo Mexicano de Seguros, S.A. de C.V.",techlinp@fotki.com,7698420498
27,8957,"Grupo Nacional Provincial, S.A.B.",dseifertq@businessweek.com,6884157549
28,1985,"HDI Seguros, S.A. de C.V.",jgheorgher@jalbum.net,9122191410
29,1986,"HDI-Gerling de México Seguros, S.A.",lmities@ihg.com,8232515023
30,8644,"HIR Compañía de Seguros, S.A. de C.V.",ecatonnet@4shared.com,9689244795
31,3813,"HSBC Seguros, S.A. de C.V., Grupo Financiero HSBC",mhouseleeu@4shared.com,1635869011
32,3257,"Insignia Insurance, S.A. de C.V.",plambertov@cnbc.com,8391520214
33,3087,"La Latinoamericana Seguros, S.A.",barnelyw@ifeng.com,6465814033
34,2628,"Mapfre México, S.A.",smouldx@ameblo.jp,4498678547
35,1256,"Colonial Insurance Company de México, S.A. de C.V.",cmceloryy@wikispaces.com,9259007974
36,9618,"Metlife México, S.A.",mmelleyz@digg.com,8267729148
37,613,"Old Mutual Life, S.A. de C.V.",svoaden10@topsy.com,1436642495
38,6980,"Pan-American México, Compañía de Seguros, S.A. de C.V",sjedrysik11@sbwire.com,2089747264
39,5302,"Patrimonial Inbursa, S.A.",mswiffan12@dropbox.com,6603405468
40,8554,"Prevem Seguros, S.A. de C.V.",NULL,7769360120
41,3432,"Primero Seguros, S.A. de C.V.",cocullinane14@bloglines.com,3611489023
42,2060,"Principal Seguros, S.A. de C.V., Principal Grupo Financiero",badderley15@tiny.cc,4339081423
43,2592,"IntelliQuote Insurance Services, S.A. de C.V.",ksweet16@cnn.com,7908395507
44,2584,"Prudential Seguros México, S.A.",kmarquiss17@mysql.com,4404613029
45,2005,"QBE de México Compañía de Seguros, S.A. de C.V.",jkastel18@va.gov,5026992472
46,2534,"Quálitas, Compañía de Seguros, S.A. de C.V.",tsadry19@msn.com,8693903055
47,4495,"Lemonade Insurance, S.A. de C.V.",NULL,6338221995
