1,1,123,6,2,8649930879915400,025-GHG,10%
2,12,327,12,2,8952272488210390,735-CAG,10%
3,20,79,1,1,3296879065768990,590-EKL,5%
4,22,655,4,4,12274434104517,078-UYJ,10%
5,29,354,21,3,6118289491329700,713-LNO,12%
6,30,508,20,3,8371065375877620,981-AMX,12%
7,40,619,12,2,8344231366914990,896-RSU,5%
8,46,688,8,5,9208564186065020,864-LOX,5%
9,47,76,14,1,6056431630054130,804-KUJ,5%
10,50,688,15,5,28774777013213,094-ESV,5%
11,51,681,17,5,1358635539212860,616-PTR,10%
12,56,591,16,2,2361375978923320,457-KBK,5%
13,59,681,9,5,2383153797081620,579-MMV,10%
14,61,298,7,3,7441346566715360,009-NTX,12%
15,70,31,14,1,4160878340213910,592-NXV,10%
16,73,678,1,5,4084994564933050,892-RHP,10%
17,74,573,10,2,1614012135646040,773-YLK,5%
18,79,340,16,3,7050103323206540,426-LPV,12%
19,83,60,1,1,4857937208768860,188-XYR,5%
20,87,374,13,2,6977181886823720,464-KNK,5%
21,104,655,7,4,2929363041063290,333-QGO,5%
22,115,80,5,1,7585428416753090,824-NKL,10%
23,126,654,5,4,8403758364270010,944-PPT,10%
24,132,533,19,3,3631082867309650,291-PNC,12%
25,137,694,15,5,1883798539103500,214-QTV,5%
26,138,689,9,5,746703492375718,312-RLE,10%
27,142,671,9,4,8208836641270430,367-XIF,5%
28,152,86,21,1,9571589136646750,103-JNY,5%
29,163,47,19,1,2804750494343670,999-YQX,5%
30,164,683,15,5,1731010209499590,453-RAV,10%
31,168,664,8,4,3256049844188060,992-SCF,10%
32,171,288,3,3,9874423124544580,615-VNR,12%
33,173,189,13,2,175030328880128,140-DJN,5%
34,187,23,4,1,6578544124693530,970-TYP,10%
35,193,54,19,1,8238605249676790,904-ODR,10%
36,200,662,12,4,3207836927758030,230-BFJ,5%
37,214,677,6,4,2815592728172100,579-EYH,10%
38,215,15,13,1,3355772103302150,393-YTQ,5%
39,225,560,7,3,7346279323064360,344-PAQ,12%
40,227,41,4,1,5229858575222290,832-XNF,5%
41,228,659,7,4,5160763392282000,313-WJB,5%
42,235,298,16,3,9957930944767690,103-PKF,12%
43,237,680,14,5,3007458701679110,623-RTU,10%
44,247,685,11,5,8082245091662900,266-MNC,5%
45,248,399,14,2,5224380891036100,711-VCN,5%
46,251,691,12,5,4353507872307590,543-RWK,10%
47,253,685,17,5,7018537507023180,293-KYF,10%
48,257,288,5,3,3394367648738520,315-LWC,12%
49,267,664,16,4,457603529876997,689-SFA,5%
50,271,690,16,5,2590627946554540,999-BYN,5%
51,291,27,2,1,9102909338722760,953-DJX,5%
52,294,88,17,1,9733314281638010,667-TKJ,5%
53,300,665,1,4,519696297505691,776-XYY,10%
54,304,678,20,5,6984643090273740,497-DDK,10%
55,306,683,3,5,5070748060526680,385-BRV,10%
56,310,669,21,4,4486023007102800,944-PQH,10%
57,311,691,15,5,5633332975918390,874-LAX,10%
58,340,682,1,5,8054402399308290,596-SCM,10%
59,345,340,10,3,1967107414900970,814-UPH,12%
60,354,667,18,4,9219707120137660,521-IWA,5%
61,379,152,19,2,4869481263296070,376-RQC,5%
62,383,697,20,5,1218113992436960,175-ODD,10%
63,387,653,13,4,340603114283308,617-YAS,10%
64,388,668,6,4,2397322726015180,676-LNS,5%
65,389,560,15,3,7273516734408780,175-KAP,12%
66,395,69,19,1,4475310043956870,463-YQQ,10%
67,396,10,9,1,8488511973606610,656-WSQ,10%
68,398,669,18,4,7520090849877140,008-AUN,10%
69,399,122,16,2,6229506845629290,818-ENK,10%
70,400,394,19,3,4739864948599100,288-LNB,12%
71,403,533,8,3,1798473045804240,962-VJF,12%
72,417,683,5,5,5053929134384040,725-BGJ,10%
73,421,30,3,1,4344696038560380,382-AYJ,10%
74,430,656,10,4,5650293463891600,798-TAW,10%
75,432,465,3,2,717768368355644,969-RAR,5%
76,440,645,16,2,449705554768087,755-UEN,10%
77,441,685,4,5,2465340617718420,176-UUC,10%
78,442,271,21,2,4580248948508900,820-HXZ,10%
79,446,682,14,5,2284586276094190,279-NKL,5%
80,451,679,6,5,7338321125993930,933-RZP,10%
81,463,139,14,2,314057531520298,370-EMM,5%
82,464,695,5,5,2319072303486580,658-SQN,10%
83,478,213,16,3,4381397250705640,500-RAC,12%
84,490,610,1,3,5288345398946890,009-ZVA,12%
85,494,663,15,4,4676680250720050,074-XFV,5%
86,496,109,8,1,7242444096805160,182-SWV,5%
87,502,13,10,1,6140677229243670,980-RBP,10%
88,506,679,21,5,7358715533230070,260-PXC,5%
89,519,672,4,4,3976372693930970,502-BWF,5%
90,528,671,2,4,9334259806855640,765-QJW,5%
91,532,690,4,5,4578219254393340,991-MHH,10%
92,541,7,17,1,5279178275263370,435-XVC,10%
93,546,43,5,1,5616428440343810,314-AOP,5%
94,550,81,12,1,631720661725484,200-SRZ,5%
95,551,671,16,4,823529063815764,254-NXY,5%
96,560,533,10,3,84793775230404,177-LDQ,12%
97,561,670,11,4,4793731438563470,241-QBX,5%
98,569,641,12,2,2612767806996260,976-LSS,5%
99,570,668,2,4,6437565544318620,566-ZVL,5%
100,586,299,5,2,1896384943317920,593-TWZ,10%
101,589,47,8,1,8059823128612970,014-MGT,10%
102,590,668,14,4,9197658978676800,239-SYP,5%
103,593,340,12,3,9670055810257330,132-KFU,12%
104,594,95,14,1,2922933038197410,671-PAA,10%
105,603,119,13,2,8225149371692700,664-CBE,10%
106,608,689,18,5,9363122336395920,295-MXZ,5%
107,610,679,20,5,3296183726485750,226-YJZ,10%
108,611,30,3,1,2887815640479950,513-ZRM,5%
109,614,683,11,5,169365397407410,344-MFI,5%
110,625,685,13,5,5382062299271320,934-FEG,5%
111,630,288,12,3,6469914759690170,381-DHA,12%
112,633,157,17,2,4948332728484110,740-ONU,10%
113,636,692,19,5,7951374055258890,760-VOF,10%
114,663,672,10,4,5843562722686660,843-ROD,10%
115,668,684,11,5,978907457902454,203-DAK,5%
116,670,340,11,3,1572391010787130,797-OFH,12%
117,671,658,2,4,4193007414771580,247-OUP,5%
118,672,367,2,2,8224289485524070,342-KRK,10%
119,675,694,12,5,2010510966737010,620-ACV,5%
120,676,82,17,1,2504435848802580,134-KFJ,5%
121,678,696,5,5,4770263869967640,713-FSJ,5%
122,679,98,1,1,3376005207146930,995-GXD,5%
123,682,528,20,2,9541620522232160,669-LKK,10%
124,684,70,17,1,5519239707287340,472-QQY,5%
125,692,39,14,1,5934234643344060,409-MZF,5%
126,693,621,14,3,2439567898975160,844-CJO,12%
127,695,495,10,2,1936110369192910,981-WGU,10%
128,698,385,7,2,689612580257201,470-HNS,5%
129,702,661,18,4,8965015494297730,598-HAD,5%
130,723,690,16,5,3571878610516070,258-ULV,10%
131,728,629,9,2,8879978271343140,962-MNJ,10%
132,752,643,14,2,9240879510885320,270-HUV,5%
133,761,483,19,3,4742799073337160,224-FJP,12%
134,769,13,2,1,7214945331184850,791-NVU,5%
